"day_time","yellow","green","fhv"
"21_7",10579,609,4964
"21_8",13234,840,6095
"21_9",11858,955,5923
"21_10",10722,835,5447
"21_11",10627,796,5128
"21_12",11126,785,5015
"21_13",11083,774,4983
"21_14",12075,809,4689
"21_15",12649,903,4217
"21_16",11833,978,3731
"21_17",13967,1009,3238
"21_18",15857,1020,2821
"21_19",13454,893,2445
"21_20",12939,727,2636
"21_21",12849,584,2325
"21_22",10130,435,1879
"21_23",5590,316,1530
"22_0",3320,217,1124
"22_1",1580,103,679
"22_2",1069,57,519
"22_3",780,63,575
"22_4",900,91,1042
"22_5",2014,114,1811
"22_6",5210,267,2791
"22_7",10443,568,4851
"22_8",12901,865,5881
"22_9",12025,908,5914
"22_10",10665,830,5363
"22_11",11044,796,4920
"22_12",11470,744,5125
"22_13",11233,767,4916
"22_14",12173,812,4705
"22_15",12726,876,4200
"22_16",12046,1034,3438
"22_17",14019,1027,3207
"22_18",16201,1047,2805
"22_19",14367,1012,2369
"22_20",13309,738,2533
"22_21",14025,641,2368
"22_22",11618,593,1916
"22_23",6759,382,1484
"23_0",3963,224,1129
"23_1",2167,130,668
"23_2",1378,70,511
"23_3",937,64,513
"23_4",1056,92,1014
"23_5",2094,146,1825
"23_6",5197,291,2875
"23_7",10414,576,4763
"23_8",12787,864,5858
"23_9",11690,873,5701
"23_10",10627,880,5402
"23_11",10982,846,4954
"23_12",11351,764,5005
"23_13",11646,799,4834
"23_14",12709,859,4809
"23_15",13054,902,4184
"23_16",12356,989,3665
"23_17",14655,1045,3358
"23_18",16490,1031,2780
"23_19",14929,942,2439
"23_20",13954,718,2585
"23_21",14811,627,2409
"23_22",13911,566,1954
"23_23",8938,459,1539
"24_0",5585,273,1121
"24_1",3239,160,797
"24_2",1960,99,568
"24_3",1417,98,612
"24_4",1353,116,1093
"24_5",2145,130,1840
"24_6",4903,268,2794
"24_7",10072,557,4647
"24_8",11866,818,5640
"24_9",11080,893,5703
"24_10",10052,782,5226
"24_11",10587,732,4761
"24_12",11058,689,4834
"24_13",11589,659,4647
"24_14",12679,805,4427
"24_15",12797,881,3951
"24_16",12115,1049,3472
"24_17",14485,1095,3021
"24_18",16436,1111,2710
"24_19",16111,987,2504
"24_20",12769,834,2541
"24_21",12884,761,2109
"24_22",13491,707,2075
"24_23",12618,644,1847
"25_0",10412,470,1573
"25_1",8046,392,1130
"25_2",6247,303,900
"25_3",4356,242,865
"25_4",2507,216,1174
"25_5",1358,121,1461
"25_6",1993,126,1706
"25_7",3210,261,2328
"25_8",5530,429,2945
"25_9",8597,606,3472
"25_10",10717,696,3266
"25_11",12615,738,3059
"25_12",14779,785,3350
"25_13",14702,783,3285
"25_14",14161,839,3140
"25_15",12525,878,3049
"25_16",11038,719,2539
"25_17",11587,751,2519
"25_18",12464,739,2466
"25_19",12536,715,2478
"25_20",9766,701,2312
"25_21",10331,633,2140
"25_22",11883,634,2096
"25_23",11860,534,1930
"26_0",10872,523,1722
"26_1",9560,391,1383
"26_2",7566,323,1058
"26_3",5316,271,943
"26_4",2934,220,1105
"26_5",1239,98,1167
"26_6",1652,114,1468
"26_7",2678,209,1755
"26_8",4156,365,2171
"26_9",6560,585,2813
"26_10",9495,675,3331
"26_11",9928,678,2889
"26_12",11128,703,2663
"26_13",11555,784,2684
"26_14",11764,777,2670
"26_15",11587,775,2747
"26_16",11407,751,2467
"26_17",12439,702,2403
"26_18",12309,694,2197
"26_19",9260,571,2150
"26_20",8356,511,1868
"26_21",7491,441,1803
"26_22",5194,365,1647
"26_23",3739,246,1503
"27_0",2432,183,1130
"27_1",1262,115,697
"27_2",831,77,563
"27_3",662,74,587
"27_4",866,124,1200
"27_5",1936,135,1857
"27_6",5058,285,2863
"27_7",9719,578,4759
"27_8",11606,794,5723
"27_9",10411,861,5749
"27_10",9246,831,5360
"27_11",9417,802,4773
"27_12",9858,780,4908
"27_13",10465,794,4846
"27_14",11056,783,4617
"27_15",11450,855,4266
"27_16",11152,945,3596
"27_17",12621,907,3210
"27_18",13680,901,2591
"27_19",12065,830,2172
"27_20",11010,640,2414
"27_21",10694,478,2131
"27_22",7788,386,1647
"27_23",4501,293,1426
"28_0",2728,158,1079
"28_1",1380,94,585
"28_2",904,49,495
"28_3",661,58,475
"28_4",764,103,1010
"28_5",1871,143,1686
"28_6",5017,292,2834
"28_7",10079,612,4620
"28_8",12485,844,5749
"28_9",11380,924,5915
"28_10",10393,841,5336
"28_11",10324,805,4935
"28_12",10928,776,4892
"28_13",11175,784,4795
"28_14",12234,852,4612
"28_15",12663,975,4217
"28_16",11895,1021,3593
"28_17",14048,1063,3180
"28_18",15899,1032,2694
"28_19",14226,888,2243
"28_20",13922,696,2469
"28_21",13399,583,2291
"28_22",10759,482,1912
"28_23",6679,308,1577
"29_0",3680,216,1084
"29_1",1873,113,620
"29_2",1041,62,522
"29_3",760,75,568
"29_4",898,89,974
"29_5",2044,143,1808
"29_6",5166,254,2852
"29_7",10494,575,4755
"29_8",13411,835,5887
"29_9",11806,958,5832
"29_10",10862,833,5361
"29_11",10840,768,4816
"29_12",11523,788,4978
"29_13",11512,796,4966
"29_14",12675,878,4710
"29_15",13382,935,4128
"29_16",11851,1019,3742
"29_17",14186,1005,3331
"29_18",15635,1057,2797
"29_19",14601,924,2393
"29_20",14049,692,2539
"29_21",14538,645,2394
"29_22",13155,505,1907
"29_23",7438,399,1544
"30_0",4379,246,1158
"30_1",2247,107,734
"30_2",1354,58,510
"30_3",872,53,562
"30_4",972,88,981
"30_5",2105,158,1737
"30_6",5285,314,2871
"30_7",11148,631,4850
"30_8",13523,888,5763
"30_9",12517,863,5598
"30_10",10952,848,5299
"30_11",11136,782,4887
"30_12",11872,775,4935
"30_13",12089,781,4858
"30_14",12748,811,4606
"30_15",13257,927,4215
"30_16",12432,1061,3863
"30_17",14790,1020,3439
"30_18",18225,1031,2883
"30_19",16068,973,2480
"30_20",14724,810,2641
"30_21",15432,657,2483
"30_22",14994,593,2015
"30_23",9873,436,1605
"31_0",6043,282,1165
"31_1",3540,161,749
"31_2",2203,101,559
"31_3",1436,81,617
"31_4",1339,116,1086
"31_5",2106,155,1772
"31_6",4923,270,2806
"31_7",10006,572,4725
"31_8",12643,802,5794
"31_9",11503,892,5701
"31_10",10394,870,5196
"31_11",10875,820,4779
"31_12",11653,744,4929
"31_13",11933,759,4829
"31_14",12893,891,4621
"31_15",13118,961,4011
"31_16",12436,1056,3586
"31_17",14555,1090,3210
"31_18",16469,1079,2848
"31_19",15067,943,2597
"31_20",13339,828,2398
"31_21",13728,850,2371
"31_22",12380,711,2176
"31_23",11503,602,1845
